name,org,price
【博为峰】软件测试国际权威认证ISTQB2018版考纲培训VIP体验,博为峰网校在线教育,
【毕老师·消防全攻略】2020消防工程师入门课,毕老师·消防全攻略,¥5.22
【博为峰】软件测试国际权威认证ISTQB2018版考纲培训免费咨询,博为峰网校在线教育,免费
逆寒技术作图—试听课,熊梅军,免费
Python零基础快速就业到高级工程师/网络爬虫/人工智能/商业项目,六星云课堂,免费
Rhino3D（犀牛）工具讲解与应用课程合集免费章节,Rhino3D（犀牛）原厂中国/Shaper3d,免费
json-Python自动化测试-项目实战-/测试开发/接口/性能【学神IT】,学神IT教育,¥1462.22
"【直播】亚马逊3大引爆流量技巧,不懂英语也能爆单【齐论】",齐论跨境学院,免费
PHP7进阶到架构-Laravel/Redis/Swoole/高并发分布式【六星教育】,六星教育,免费
3Dmax多边形建模系列,云龙课堂,免费
Web前端开发(HTML/CSS/javaScript/Vue/React/Node),六星教育,免费
Java零基础入门到精通--上[历史 运算符 语法结构 数组 面向对象],渡一教育,免费
Rhino 7犀牛 / KeyShot 9 产品设计建模渲染进阶班【卓尔谟教育】,卓尔谟教育,¥8322.22
PS淘宝美工PS教程 抠图/产品精修/主图/海报/详情页 就业实战答疑,涵品教育,免费
【直播】外研版初中英语七年级上册 同步教材精讲精练 可试听,e学苑在线教育,免费
PS/PS教程/摄影后期/人像精修/液化/上妆/调色/0基础到精通,涵品教育,免费
人教版初中英语七年级上册知识点讲解课程,河北翻译培训学院,免费
CCNA安全思科网络工程师,太阁IT认证中心,免费
工业产品设计手绘基础马克笔表现实战班【卓尔谟教育】,卓尔谟教育,¥8322.22
python基础教程-马哥7天共学Python入门基础课程,马哥教育,免费
20省考冲刺+申论精讲,抵岸教育,¥5622.22
【直播】外研版初中英语七年级上册 知识点梳理语法词汇精讲,e学苑在线教育,免费
【坤哥物理】初升高如何学好高中物理？听坤哥这样说,蜜蜂优课,免费
高考数学那些神奇解题大招大汇总一,宋超,免费
高考数学中的绝杀技巧【数学超人】+【微信】supermath987,宋超,免费
基础入门--maya影视角色动画师必修课程【百艺汇聚】,百艺汇聚,免费
JVM GC调优 预习课,马士兵老师,免费
【坤哥物理】理综如何得高分：坤哥理综考试攻略大放送,蜜蜂优课,免费
【速成班】自媒体短视频赚钱|抖音Vlog今日头条号大鱼企鹅百家号,泛学苑自媒体,免费
抖音短视频上热门|自媒体网赚|Vlog视频赚钱|电商引流带货,魔贝课凡,免费
【北京峰源注册消防】（2019年注册消防考试免费直播公开课）,峰源教育,免费
